primary_product_code,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,definition,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,ai_device_authorizations,linked_recall_records,first_ai_authorization_date,latest_ai_authorization_date,source_snapshot_date
MNM,"Reader, Cervical Cytology Slide, Automated",3,,,Unknown,PA,,N,N,N,N,Ineligible,1,0,1995-11-08,1995-11-08,2026-07-31
MRZ,"Accessories, Pump, Infusion",2,880.5725,HO,General Hospital,HO,,N,N,N,N,Eligible,1,0,2019-11-04,2019-11-04,2026-07-31
MUD,"Oximeter, Tissue Saturation",2,870.2700,CV,Cardiovascular,SU,,N,N,N,Y,Eligible,1,0,2019-11-01,2019-11-01,2026-07-31
MVK,Wearable Automated External Defibrillator,3,,,Unknown,CV,The device is an automatic external defibrillator which monitors and treats a patient for ventricular defibrillation.  Device is intended to be worn in home or in hospital settings as prescribed and overseen by a physician.,N,Y,N,N,Ineligible,1,0,2025-04-30,2025-04-30,2026-07-31
MWJ,"Electrocardiograph, Ambulatory (Without Analysis)",2,870.2800,CV,Cardiovascular,CV,,N,N,N,N,Eligible,1,0,2024-05-07,2024-05-07,2026-07-31
MWM,"Sensor, Electro-Optical (For Cervical Cancer)",3,,,Unknown,OB,An optical detection system for the identification of areas on the cervix likely to contain cancer or precancerous cells.,N,N,N,N,Ineligible,1,1,2006-03-16,2006-03-16,2026-07-31
MYE,"System, Electrogastrography (Egg)",2,876.1735,GU,"Gastroenterology, Urology",GU,,N,N,N,N,Eligible,1,0,2025-12-05,2025-12-05,2026-07-31
NAY,"System, Surgical, Computer Controlled Instrument",2,876.1500,GU,"Gastroenterology, Urology",SU,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",N,N,N,N,Ineligible,1,0,2018-05-25,2018-05-25,2026-07-31
NCG,Neuropsychiatric Interpretative Electroencephalograph Assessment Aid,2,882.1440,NE,Neurology,NE,"Uses a patient's electroencephalograph (EEG) to provide an interpretation of the patient's neuropsychiatric condition.  It is also used only as an assessment aid for a medical condition for which there exists other valid methods of diagnosis.""",N,N,N,N,Eligible,1,0,2025-12-08,2025-12-08,2026-07-31
NFJ,"System, Image Management, Ophthalmic",2,892.2050,RA,Radiology,OP,,N,N,N,Y,Eligible,1,0,2015-02-27,2015-02-27,2026-07-31
NMN,"Instrument, Clip, Forming/Cutting, Reprocessed",1,882.4190,NE,Neurology,NE,"Reprocessing validation data for this device type must be included in a 510(k) submission. (70 FR 56911, available at https://www.govinfo.gov/content/pkg/FR-2005-09-29/pdf/05-19510.pdf).",N,N,N,Y,Ineligible,1,1,1995-09-29,1995-09-29,2026-07-31
NVI,"Diagnostic Software, K-Nearest Neighbor Algorithm, Autoimmune Disease",2,862.3100,TX,Clinical Toxicology,IM,The device is intended to suggest a systemic autoimmune disease association as an aid for differential diagnosis to be evaluated in conjunction with clinical findings and other laboratory tests.,N,N,N,Y,Eligible,1,2,2005-10-27,2005-10-27,2026-07-31
OEE,Diagnostic Low Electric Field,3,,,Unknown,SU,As an adjunctive tool to guide the shavings of tissue at the margins of the tumor for use in excisional breast surgery to assist in locating the tissue for excision. In addition to other standard methods such as intraoperative imaging and palpation.,N,N,N,N,Eligible,1,0,2012-12-27,2012-12-27,2026-07-31
OLV,Standard Polysomnograph With Electroencephalograph,2,882.1400,NE,Neurology,NE,"Acquire, display, store, and archive electroencephalographic signals from the brain and other signals (such as electromyography, respiratory and/or oximetry signals) for sleep recordings.  May also be used to allow on-screen review, user-controlled annotation and user-controlled marking of data.",N,N,N,Y,Eligible,1,0,2025-02-20,2025-02-20,2026-07-31
ONV,Electrical Impedance Spectrometer,2,878.1820,SU,"General, Plastic Surgery",SU,An electrical impedance spectrometer is a prescription device that measures and analyzes electrical impedance properties of a skin lesion. The device is intended for use by a physician trained in the clinical diagnosis and management of skin cancer as an adjunctive device following identification of a suspicious skin lesion. The output given by the device is intended to be used in combination with clinical and historical signs of skin cancer to obtain additional information prior to a decision to biopsy. It is not for use as a standalone diagnostic and is not for use to confirm a clinical diagnosis Please reference https://www.federalregister.gov/documents/2026/03/25/2026-05772/general-and-plastic-surgery-devices-reclassification-of-optical-diagnostic-devices-for-melanoma.,N,N,N,N,Eligible,1,0,2017-06-28,2017-06-28,2026-07-31
OOG,Knee Arthroplasty Implantation System,2,888.3560,OR,Orthopedic,OR,"Intended to be used to assist in the implantation of a specific knee arthroplasty device or a set of specific knee arthroplasty devices.  Indicated to include guiding alignment, making or establishing cuts, selecting, sizing, attaching, positioning or orienting implant components.",N,N,N,N,Eligible,1,0,2023-12-20,2023-12-20,2026-07-31
OXO,"Image-Intensified Fluoroscopic X-Ray System, Mobile",2,892.1650,RA,Radiology,RA,Fluoroscopy of the human body.,N,N,N,Y,Eligible,1,0,2025-11-26,2025-11-26,2026-07-31
OYD,Optical Diagnostic Device For Melanoma Detection,2,878.1820,SU,"General, Plastic Surgery",SU,An optical diagnostic device for melanoma detection is a prescription device that measures and analyzes optical properties of a skin lesion. The device is intended for use by a physician trained in the clinical diagnosis and management of skin cancer as an adjunctive device following identification of a suspicious skin lesion. The output given by the device is intended to be used in combination with clinical and historical signs of skin cancer to obtain additional information prior to a decision to biopsy. It is not for use as a standalone diagnostic and is not for use to confirm a clinical diagnosis. Please reference https://www.federalregister.gov/documents/2026/03/25/2026-05772/general-and-plastic-surgery-devices-reclassification-of-optical-diagnostic-devices-for-melanoma.,N,N,N,N,Eligible,1,1,2011-11-01,2011-11-01,2026-07-31
OZE,Influenza A And Influenza B Multiplex Nucleic Acid Assay,2,866.3980,MI,Microbiology,MI,An Influenza A and Influenza B multiplex nucleic acid assay is a multiplex in vitro diagnostic test for the simultaneous qualitative detection and discrimination of influenza A and influenza B nucleic acids isolated and purified from human respiratory specimens obtained from individuals exhibiting signs and symptoms of respiratory tract infections or viral culture. The detection and discrimination of influenza A and B nucleic acids from symptomatic patients aid in the diagnosis of human respiratory tract influenza viral infections if used in conjunction with other clinical and laboratory findings.,N,N,N,N,Ineligible,1,0,2019-04-22,2019-04-22,2026-07-31
PGW,"Ear, Nose, And Throat Stereotaxic Instrument",2,882.4560,NE,Neurology,EN,Intended as an aid for precisely locating a surgical instrument within anatomical structures in either open or percutaneous procedures for any medical condition in which a reference to a rigid anatomical structure in the field of ENT surgery can be identified relative to a CT- or MR-based model or digitized landmarks of the anatomy.,N,N,N,N,Eligible,1,0,2023-04-27,2023-04-27,2026-07-31
PPW,Adjunctive Cardiovascular Status Indicator,2,870.2200,CV,Cardiovascular,CV,The adjunctive cardiovascular status indicator is a prescription device based on sensor technology for the measurement of a physical parameter(s). This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,N,N,N,Ineligible,1,0,2025-12-16,2025-12-16,2026-07-31
PQP,"Next Generation Sequencing Oncology Panel, Somatic Or Germline Variant Detection System",3,,,Unknown,PA,A next generation sequencing (NGS) oncology panel is a device used for the qualitative detection of germline or somatic variants in one or more cancer-related genes. The device is intended to be used on DNA or RNA isolated from human clinical specimens.,N,N,N,N,Eligible,1,0,2023-04-28,2023-04-28,2026-07-31
PRE,Rt-Qpcr Assay For Mrna Transcript Immune Biomarkers,2,866.3215,MI,Microbiology,MI,A quantitative gene expression assay using reverse transcription polymerase chain reaction to quantify the relative expression levels of host response genes isolated from whole blood.,N,N,N,N,Eligible,1,0,2025-01-10,2025-01-10,2026-07-31
PRH,Positive Blood Culture Identification And Ast Kit,2,866.1650,MI,Microbiology,MI,"Fluorescence in situ hybridization (FISH) identification and quantitative, antimicrobial susceptibility testing (AST) kit intended for simultaneous detection and identification of multiple microbial targets.",N,N,N,N,Eligible,1,2,2020-09-15,2020-09-15,2026-07-31
PTA,Genetic Variant Detection And Health Risk Assessment System,2,866.5950,IM,Immunology,IM,A qualitative in vitro molecular test that detects variants in genomic DNA isolated from human specimens. This assessment system provides users with a genetic health risk assessment of developing a disease and is intended to inform users of lifestyle choices and/or encourage conversations with a healthcare professional. This assessment system is for over-the-counter use. This device does not determine the person’s overall risk of developing a disease.,N,N,N,N,Eligible,1,0,2017-04-06,2017-04-06,2026-07-31
PZM,Next Generation Sequencing Based Tumor Profiling Test,2,866.6080,PA,Pathology,PA,A next-generation sequencing based tumor profiling test is a qualitative in vitro diagnostic test intended to detect mutations in a broad panel of targeted genes that are somatically altered in malignant neoplasms from tumor specimens obtained from patients diagnosed with malignant solid neoplasms using targeted next-generation sequencing.,N,N,N,Y,Ineligible,1,0,2025-08-29,2025-08-29,2026-07-31
QBC,External Upper Limb Tremor Stimulator,2,882.5897,NE,Neurology,NE,An external upper limb tremor stimulator is a prescription device which is placed externally on the upper limb and designed to aid in tremor symptom relief of the upper limb.,N,N,N,N,Ineligible,1,0,2025-07-01,2025-07-01,2026-07-31
QCJ,Closed Loop Auto Titration Device For Oral Appliances,2,872.5571,DE,Dental,DE,A closed-loop autotitration device for intraoral appliances uses a feedback control to record changes in the patient’s respiratory status related to repositioning of the mandible during an overnight study.  The data are analyzed by a Healthcare Provider and can then be used to prospectively identify patients with mild to moderate obstructive sleep apnea who may be suitable for therapy with an oral appliance and to recommend a target mandibular position.,N,N,N,N,Ineligible,1,0,2018-08-23,2018-08-23,2026-07-31
QFJ,Intravascular Bleed Monitor,2,870.1345,CV,Cardiovascular,CV,"An intravascular bleed monitor is a probe, catheter, or catheter introducer that measures changes in bioimpedance and uses an algorithm to detect or monitor progression of potential internal bleeding complications.",N,N,N,N,Ineligible,1,0,2023-05-25,2023-05-25,2026-07-31
QJB,"Adjunct Monitor, Protein Calorie Malnutrition",2,870.2770,CV,Cardiovascular,GU,Device applies an alternating current of one specified frequency or more through skin-surface electrodes to estimate one or more the body composition parameters.,N,N,N,N,Ineligible,1,0,2019-11-25,2019-11-25,2026-07-31
QKQ,Digital Pathology Image Viewing And Management Software,2,864.3700,PA,Pathology,PA,Digital pathology image viewing and management software device is a software intended for viewing and management of digital images of scanned surgical pathology slides prepared from formalin-fixed paraffin embedded (FFPE) tissue. It is an aid to the pathologist to review and interpret these digital images for the purposes of primary diagnosis.,N,N,N,N,Ineligible,1,0,2025-12-09,2025-12-09,2026-07-31
QMS,Adjunctive Open Loop Fluid Therapy Recommender,2,870.5600,CV,Cardiovascular,CV,The adjunctive open loop fluid therapy recommender is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict a patient’s estimated response to fluid therapy. The device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,N,N,Y,Ineligible,1,0,2024-08-02,2024-08-02,2026-07-31
QNK,Optoacoustic Imaging System,3,,,Unknown,RA,The device is indicated for imaging the breast using optoacoustic technology for breast cancer diagnosis,N,N,N,N,Ineligible,1,0,2021-01-11,2021-01-11,2026-07-31
QOK,Hardware And Software For Optical Camera-Based Measurement Of Heart Rate And Respiratory Rate,2,870.2786,CV,Cardiovascular,CV,"The device uses an optical sensor system and software algorithms to obtain and analyze video signal and estimate pulse rate, heart rate, respiratory rate and/or breathing rates. This device is not intended to independently direct therapy.",N,N,N,N,Ineligible,1,0,2021-04-01,2021-04-01,2026-07-31
QQI,Interventional Cardiovascular Implant Simulation Software Device,2,870.1405,CV,Cardiovascular,CV,An interventional cardiovascular implant simulation software device is a prescription device that provides a computer simulation of an interventional cardiovascular implant device inside a patient’s cardiovascular anatomy. It performs computational modeling to predict the interaction of the interventional cardiovascular implant device with the patient-specific anatomical environment.,N,N,N,N,Ineligible,1,0,2021-09-08,2021-09-08,2026-07-31
QRY,Dental Navigation System,2,872.4120,DE,Dental,DE,Intended to provide real-time guidance on the orientation and location of the dental instrument relative to the patient's anatomy for general dentistry procedures.,N,N,N,N,Ineligible,1,2,2024-02-21,2024-02-21,2026-07-31
QVD,Radiological Machine Learning Based Quantitative Imaging Software With Change Control Plan,2,892.2055,RA,Radiology,RA,"A radiological machine learning quantitative imaging software with predetermined change control plan is a software-only device which employs machine learning algorithms on radiological images to provide quantitative imaging outputs. The device includes  functions to support outputs such as view selection, segmentation and landmarking. The design specifications include planned modifications that may be made to the device consistent with an established predetermined change control plan.",N,N,N,N,Ineligible,1,0,2023-02-24,2023-02-24,2026-07-31
QVE,Adjunctive Pain Measurement Device For Anesthesiology,2,868.2200,AN,Anesthesiology,AN,An adjunctive pain measurement device for anesthesiology is a prescription device that includes software algorithms to analyze physiological sensor data and measure response to painful stimuli in patients under general anesthesia. The device may be software-only or it may include hardware such as physiological sensors. This device type is intended for adjunctive use to tailor analgesic administration to a patient’s actual response to painful stimuli and is not intended to independently direct decision-making.,N,N,N,N,Ineligible,1,0,2023-02-17,2023-02-17,2026-07-31
QVT,Monitor For Opioid Induced Impairment Of Oxygenation,2,868.2250,AN,Anesthesiology,AN,A monitor for opioid induced impairment of oxygenation is a device that uses sensor hardware and  software algorithms to detect desaturations of arterial oxygen saturation resulting from opioid overdose,N,N,N,N,Ineligible,1,0,2023-03-31,2023-03-31,2026-07-31
QWT,Prognostic Assessment Software Of Mild Cognitive Impairment,2,882.1454,NE,Neurology,NE,"Prognostic assessment software of mild cognitive impairment. Prognostic assessment software of mild cognitive impairment is a prescription-only device that combines information from multiple clinical data sources to produce an output indicative of the likelihood that a patient diagnosed with mild cognitive impairment will progress to more severe forms of cognitive impairment, or will develop dementia, such as Alzheimer’s disease dementia, within a specified period of time. This device is intended for adjunctive use and not intended as a stand-alone diagnostic or prognostic too.",N,N,N,N,Ineligible,1,0,2024-01-11,2024-01-11,2026-07-31
QWZ,Prognostic Test For Assessment Of Chronic Kidney Disease Progression,2,862.1223,CH,Clinical Chemistry,CH,"A prognostic test for assessment of chronic kidney disease progression is an in vitro diagnostic device intended to measure one or more analytes obtained from human samples as an aid in assessing the risk for progression of   chronic kidney disease. This device is not intended for diagnosis of any disease, for serial monitoring of kidney disease progression, or for monitoring the effect of any therapeutic product.",N,N,N,N,Ineligible,1,0,2023-06-29,2023-06-29,2026-07-31
QXO,Cardiovascular Machine Learning-Based Notification Software,2,870.2380,CV,Cardiovascular,CV,Cardiovascular machine learning-based notification software employs machine learning techniques to suggest the likelihood of a   cardiovascular disease or condition for further referral or diagnostic follow-up. The software identifies a single condition based on one or more non-invasive physiological inputs as part of routine medical care. It is intended as the basis for further testing and is not intended to provide diagnostic quality output. It is not intended to identify or detect arrhythmias.,N,N,N,N,Ineligible,1,0,2023-08-03,2023-08-03,2026-07-31
QXX,Coronary Artery Disease Machine Learning-Based Notification Software,2,870.2380,CV,Cardiovascular,CV,Coronary Artery Disease machine learning-based notification software employs machine learning techniques to suggest the likelihood of coronary artery disease for further referral or diagnostic follow-up.,N,N,N,N,Ineligible,1,0,2023-09-08,2023-09-08,2026-07-31
QXZ,Adjunctive Epicardial Vascular Physiologic Status Indicator,2,870.2200,CV,Cardiovascular,CV,The adjunctive epicardial vascular physiologic status indicator is a prescription device based on sensor technology or image data to provide information to an interpreting clinician in detecting the possible presence of functionally significant coronary artery disease to suggest the need for further testing. This device is intended for adjunctive use with other clinical workup or patient information and is not intended to quantify the degree to which epicardial disease is limiting flow through a vessel nor is it intended to independently direct therapy.,N,N,N,N,Ineligible,1,0,2023-09-08,2023-09-08,2026-07-31
QYV,Digital Cervical Cytology Slide Imaging System With Artificial Intelligence Algorithm,2,864.3900,PA,Pathology,PA,"The digital cervical cytology slide imaging system with artificial intelligence   (AI) algorithm is a prescription in vitro diagnostic device consisting of an automated digital slide creation, viewing, and management system intended to aid in the review of digital images of slides prepared from Pap test specimens and conventional Pap smears by selecting and presenting areas of interest to facilitate interpretation by the reader. The AI software algorithm uses machine learning techniques to provide information to the user about the presence, location, or characteristics of areas of the image with clinical implications. Information from this device is intended to assist the user in rendering a cytology diagnosis.",N,N,N,N,Ineligible,1,0,2024-01-31,2024-01-31,2026-07-31
QZS,Software-Aided Adjunctive Diagnostic Device For Use By Physicians On Lesions Suspicious For Skin Cancer,2,878.1830,SU,"General, Plastic Surgery",SU,A software-aided adjunctive diagnostic device for use by physicians on lesions suspicious for skin cancer is a prescription device that uses a software algorithm to analyze optical or other physical properties of a skin lesion and returns a classification of the skin lesion.  The device is intended for use by a physician not trained in the clinical diagnosis and management of skin cancer as an adjunctive second-read device following identification of a suspicious skin lesion.  It is not for use as a standalone diagnostic and is not for use to confirm a clinical diagnosis.,N,N,N,N,Ineligible,1,0,2024-01-12,2024-01-12,2026-07-31
SAK,Software Device To Aid In The Prediction Or Diagnosis Of Sepsis,2,880.6316,HO,General Hospital,GU,A software device to aid in the prediction or diagnosis of sepsis uses advanced algorithms to analyze patient specific data to aid health care providers in the prediction and/or diagnosis of sepsis. The device is intended for adjunctive use and is not intended to be used as the sole determining factor in assessing a patient's sepsis status. The device may contain alarms that alert the care provider of the patient's status. The device is not intended to monitor response to treatment in patients being treated for sepsis.,N,N,N,N,Ineligible,1,0,2024-04-02,2024-04-02,2026-07-31
SAR,Adjunctive Hemodynamic Indicator With Decision Point For Military Use,2,870.2220,CV,Cardiovascular,CV,An adjunctive hemodynamic indicator with decision point is a device that identifies and monitors hemodynamic condition(s) of interest and provides notifications at a clinically meaningful decision point. This device is intended to be used adjunctively along with other monitoring and patient information. The device is intended for use by the Military.,N,N,N,N,Ineligible,1,0,2024-04-05,2024-04-05,2026-07-31
SAX,Home Monitoring Ophthalmic Optical Coherence Tomography (Oct) Imaging Device,2,886.1600,OP,Ophthalmic,OP,A home monitoring ophthalmic imaging device is a prescription self-imaging device that incorporates imaging system hardware and automated image processing and analysis to enable patients at home to provide measurements that are intended for use by a physician for monitoring ophthalmic diseases or conditions in between regularly scheduled assessments.,N,N,N,N,Ineligible,1,0,2024-05-15,2024-05-15,2026-07-31
SBC,Dental Image Analyzer,2,872.1770,DE,Dental,DE,"A dental image analyzer is a prescription home use device that uses software intended to collect and analyze patient-specific, optical camera-based, intraoral images. The analyses are provided to dental health care professionals as an aid to diagnosis of oral health conditions and/or to monitor treatment progress.",N,N,N,N,Ineligible,1,0,2024-05-17,2024-05-17,2026-07-31
SBQ,Atrial Fibrillation Risk Prediction Machine Learning-Based Notification Software,2,870.2380,CV,Cardiovascular,CV,Atrial Fibrillation Risk Prediction machine learning-based notification software employs machine learning techniques to suggest the likelihood of a future occurrence of atrial fibrillation for further referral or diagnostic follow-up.,N,N,N,N,Ineligible,1,0,2024-06-21,2024-06-21,2026-07-31
SDY,Loss Of Pulse Notification Software,2,870.2790,CV,Cardiovascular,CV,A photoplethysmograph analysis software device for over-the-counter use analyzes photoplethysmograph data and provides information for identifying loss of pulse. This device is not intended to provide a diagnosis.,N,N,N,N,Ineligible,1,0,2025-02-25,2025-02-25,2026-07-31
SEZ,Radiological Software Device To Predict Future Breast Cancer Risk,2,892.8500,RA,Radiology,RA,"A radiological software device to predict future breast cancer risk is a device that analyzes radiological images generated by breast imaging modalities and/or inputs derived from radiological images to provide qualified healthcare professionals with a prediction of the risk of future (incident) breast cancer. This device produces a numeric probability and/or risk category indicative of the patient’s future breast cancer risk from the time the analyzed images were acquired. This device is not intended to diagnose, detect, or inform the treatment of cancer. The output of this device is not intended to guide interpretation of imaging exams.",N,N,N,N,Ineligible,1,0,2025-05-30,2025-05-30,2026-07-31
SFE,Endoscopic Video Imaging System / Software Component For Real Time Video Augmentation,2,876.1500,GU,"Gastroenterology, Urology",SU,To allow for visualization of body cavities through an endoscope with real time augmentation of video images via software to a monitor.,N,N,N,N,Ineligible,1,0,2025-06-24,2025-06-24,2026-07-31
SFH,Pathology Software Algorithm Device Analyzing Digital Images For Cancer Prognosis,2,864.3755,PA,Pathology,PA,A pathology software algorithm device analyzing digital images for cancer prognosis is a software intended to analyze scanned whole slide images (WSIs) from prostate biopsies prepared from formalin fixed paraffin-embedded (FFPE) tissue and stained using Hematoxylin & Eosin (H&E) stains.  The device provides prognostic risk estimates which are intended to assist physicians with prognostic risk-based decisions along with other clinicopathological factors. The device is not intended to determine a clinical diagnosis.,N,N,N,N,Ineligible,1,0,2025-07-31,2025-07-31,2026-07-31
SFR,Hypertension Machine Learning-Based Notification Software,2,870.2380,CV,Cardiovascular,CV,Hypertension machine learning-based notification software employs machine learning techniques to suggest the likelihood of hypertension for further referral or diagnostic follow-up.,N,N,N,N,Ineligible,1,0,2025-09-11,2025-09-11,2026-07-31
SGH,Ultrasound Imaging For Vascular Access For Hemodialysis,2,892.1560,RA,Radiology,GU,Ultrasound imaging for vascular access for hemodialysis,N,N,N,N,Ineligible,1,0,2025-10-17,2025-10-17,2026-07-31
SHE,Radiological Software System For Delivery Date Prediction,2,892.8200,RA,Radiology,RA,A radiological software system for delivery date prediction is a software-only device that analyzes obstetric radiological images to predict the delivery date of a pregnancy. The device output does not replace a clinician's review or judgment on the progression of a pregnancy and should be used in conjunction with other clinical and diagnostic findings. The device does not identify at-risk pregnancies or identify specific complications.,N,N,N,N,Ineligible,1,0,2026-02-11,2026-02-11,2026-07-31
SHH,Oct Imaging System With Ai/Ml Software For Adjunctive Detection Of Breast Cancer,3,,,Unknown,SU,"Intended as an adjunctive tool for intraoperative imaging and detection of cancer in breast tissue during excisional breast surgery (e.g., lumpectomy).",N,N,N,N,Ineligible,1,0,2026-03-03,2026-03-03,2026-07-31
SHL,"Ear, Nose, And Throat Image Analyzer",2,874.4775,EN,"Ear, Nose, Throat",EN,"An ear, nose, and throat image analyzer is a device that uses software to analyze patient-specific optical images of the ear, nose, and throat area. The results are provided to healthcare providers as an aid to detection, diagnosis, or monitoring of ear, nose, and throat conditions.",N,N,N,N,Ineligible,1,0,2026-03-17,2026-03-17,2026-07-31
