primary_product_code,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,definition,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,ai_device_authorizations,linked_recall_records,first_ai_authorization_date,latest_ai_authorization_date,source_snapshot_date
MWI,"Monitor, Physiological, Patient (Without Arrhythmia Detection Or Alarms)",2,870.2300,CV,Cardiovascular,CV,,N,N,N,Y,Eligible,5,0,2018-01-04,2025-06-06,2026-07-31
QNL,Medium-Term Adjunctive Predictive Cardiovascular Indicator,2,870.2210,CV,Cardiovascular,CV,The adjunctive predictive cardiovascular indicator is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict future cardiovascular status or events within a defined medium-term period. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,N,N,N,Ineligible,5,0,2021-01-09,2024-06-21,2026-07-31
QYE,Reduced Ejection Fraction Machine Learning-Based Notification Software,2,870.2380,CV,Cardiovascular,CV,Reduced Ejection Fraction machine learning-based notification software employs machine learning techniques to suggest the likelihood of a reduced ejection fraction for further referral or diagnostic follow-up.,N,N,N,N,Ineligible,5,0,2023-09-28,2025-09-19,2026-07-31
SBF,Orthopedic Augmented Reality,2,882.4560,NE,Neurology,OR,"An orthopedic augmented reality device provides visual guidance during orthopedic procedures, where the use of stereotaxic navigation is utilized. Visual guidance is displayed as “augmented reality” stereoscopic images to intraoperatively augment the user’s field of view.",N,N,N,N,Ineligible,5,1,2024-10-16,2025-10-03,2026-07-31
GXY,"Electrode, Cutaneous",2,882.1320,NE,Neurology,NE,,N,N,N,Y,Ineligible,4,0,2018-10-05,2023-01-11,2026-07-31
JAA,"System, X-Ray, Fluoroscopic, Image-Intensified",2,892.1650,RA,Radiology,RA,,N,N,N,Y,Eligible,4,3,2018-04-05,2025-01-06,2026-07-31
OIW,"Software, Similarity Score Algorithm, Tissue Of Origin For Malignant Tumor Types",2,862.3100,TX,Clinical Toxicology,TX,This test is intended to measure the degree of similarity between the RNA expression pattern in a patient?s fresh-frozen tumor and the RNA expression patterns in a database of tumor samples for some common malignant tumor types that were diagnosed according to then current clinical and pathological practice. The test result is intended for use in the context of the patient?s clinical history and other diagnostic tests evaluated by a qualified clinician.  The test is not intended to establish the origin of tumors (e.g. carcinoma of unknown primary) that cannot be diagnosed according to current clinical and pathological practice.,N,N,N,Y,Eligible,4,0,2008-07-30,2018-03-15,2026-07-31
PIW,Brain Injury Adjunctive Interpretive Electroencephalograph Assessment Aid,2,882.1450,NE,Neurology,NE,A prescription device that uses a patient¿s electroencephalograph (EEG) to provide an interpretation of the structural condition of the patient¿s brain in the setting of trauma.  The Brain Injury Adjunctive Interpretive EEG Assessment Aid is for use as an adjunct to standard clinical practice only as an assessment aid for a medical condition for which there exists other valid methods of diagnosis.,N,N,N,N,Eligible,4,0,2014-11-17,2019-09-11,2026-07-31
POS,Physiological Signal Based Seizure Monitoring System,2,882.1580,NE,Neurology,NE,"The Physiological signal based seizure monitoring system is a prescription device that uses physiological signal to identify abnormal physiological activity that may be associated with a seizure. The System does not predict seizure onsets, and is not intended as a standalone seizure monitoring device.",N,N,N,N,Eligible,4,1,2018-12-20,2025-11-21,2026-07-31
POV,Semen Analysis Device,2,864.5220,HE,Hematology,HE,"Device used to evaluate one or more human semen parameters including semen volume, sperm concentration, total sperm number, sperm motility, sperm morphology, sperm vitality, white blood cell concentration, and pH.",N,N,N,Y,Eligible,4,0,2018-11-16,2025-05-30,2026-07-31
QEA,Brain Injury Adjunctive Interpretive Oculomotor Assessment Aid,2,882.1455,NE,Neurology,NE,A traumatic brain injury eye movement assessment aid is a prescription device that uses a patient’s tracked eye movements to provide an interpretation of the functional condition of the patient’s brain. This device is an assessment aid that is not intended for standalone detection or diagnostic purposes.,N,N,N,N,Ineligible,4,1,2018-12-28,2021-10-02,2026-07-31
QHE,Shoulder Arthroplasty Implantation System,2,888.3660,OR,Orthopedic,OR,"Intended to be used to assist in the implantation of a specific shoulder arthroplasty device or a set of specific shoulder arthroplasty devices. Indicated to  include guiding alignment, making or establishing cuts, selecting, sizing,  attaching, positioning or orienting implant components.",N,N,N,N,Ineligible,4,0,2024-08-05,2026-02-04,2026-07-31
QWO,Radiology Software For Referral Of Findings Related To Fibrotic Lung Disease.,2,892.2085,RA,Radiology,RA,Radiology software for referral of findings related to fibrotic lung disease is a prescription image processing device that analyzes computed tomography images to suggest the presence of disease or of an imaging finding suggestive of disease. The output of this device is intended to be used as adjunctive information as part of a referral pathway in the overall diagnostic assessment process.,N,N,N,N,Ineligible,4,0,2024-01-12,2025-11-07,2026-07-31
DRG,"Transmitters And Receivers, Physiological Signal, Radiofrequency",2,870.2910,CV,Cardiovascular,CV,,N,N,N,Y,Eligible,3,0,2017-11-07,2026-01-22,2026-07-31
IYE,"Accelerator, Linear, Medical",2,892.5050,RA,Radiology,RA,,N,N,N,N,Eligible,3,0,2020-02-10,2026-01-15,2026-07-31
MHX,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",2,870.1025,CV,Cardiovascular,CV,,N,N,N,N,Eligible,3,0,2008-07-17,2026-01-09,2026-07-31
MQB,Solid State X-Ray Imager (Flat Panel/Digital Imager),2,892.1680,RA,Radiology,RA,,N,N,N,Y,Eligible,3,0,2021-04-02,2022-01-14,2026-07-31
NQQ,"System, Imaging, Optical Coherence Tomography (Oct)",2,892.1560,RA,Radiology,SU,This device uses back-reflected light to create two-dimensional images versus back-reflected sound waves as are used in ultrasound imaging.,N,N,N,Y,Eligible,3,0,2018-11-02,2021-06-08,2026-07-31
PBZ,Image Processing Device For Estimation Of External Blood Loss,2,880.2750,HO,General Hospital,SU,An image processing device for estimation of external blood loss is a device to be used as an aid in estimation of patient external blood loss.  The device may include software and/or hardware that is used to process images capturing externally lost blood to estimate the hemoglobin mass and/or the blood volume present in the images.,N,N,N,N,Eligible,3,0,2016-08-05,2026-03-16,2026-07-31
PHZ,Abnormal Breath Sound Device,2,868.1900,AN,Anesthesiology,AN,"The device is intended to measure abnormal breath sound, such as wheeze, rhonchi, and whistling.",N,N,N,Y,Eligible,3,0,2023-12-13,2025-04-07,2026-07-31
QDB,Photoplethysmograph Analysis Software For Over-The-Counter Use,2,870.2790,CV,Cardiovascular,CV,A photoplethysmograph analysis software device for over-the-counter use analyzes photoplethysmograph data and provides information for identifying irregular heart rhythms. This device is not intended to provide a diagnosis.,N,N,N,N,Ineligible,3,0,2021-10-22,2023-07-21,2026-07-31
QNV,Adjunctive Hemodynamic Indicator With Decision Point,2,870.2220,CV,Cardiovascular,CV,An adjunctive hemodynamic indicator with decision point is a device that identifies and monitors hemodynamic condition(s) of interest and provides notifications at a clinically meaningful decision point. This device is intended to be used adjunctively along with other monitoring and patient information.,N,N,N,N,Ineligible,3,0,2021-03-01,2022-07-14,2026-07-31
QRG,Ultrasound Guided Nerve Block Assist,2,868.1980,AN,Anesthesiology,AN,This device provides real-time interpretation and enhanced visualization of live ultrasound images by highlighting anatomical landmarks in preparation for performing regional anesthesia.,N,N,N,N,Ineligible,3,0,2022-10-18,2025-08-15,2026-07-31
QTZ,Radiological Image Processing Software For Ablation Therapy Planning And Evaluation,2,892.2050,RA,Radiology,RA,"To provide radiological image processing tools for planning, monitoring, and evaluating ablation therapy.",N,N,N,N,Ineligible,3,0,2023-08-28,2025-09-08,2026-07-31
QUO,Adjunctive Heart Failure Status Indicator,2,870.2200,CV,Cardiovascular,CV,The adjunctive heart failure status indicator is a prescription device based on sensor technology or image data to provide information to an interpreting clinician in detecting heart failure. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,N,N,N,Ineligible,3,0,2023-10-06,2025-11-21,2026-07-31
SDJ,Adjunctive Cardiac Amyloidosis Status Indicator,2,870.2200,CV,Cardiovascular,CV,The adjunctive cardiac amyloidosis status indicator is a prescription device based on sensor technology or image data to provide information to an interpreting clinician in detecting cardiac amyloidosis. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.,N,N,N,N,Ineligible,3,0,2024-11-15,2025-06-20,2026-07-31
DSH,"Recorder, Magnetic Tape, Medical",2,870.2800,CV,Cardiovascular,CV,,N,N,N,Y,Eligible,2,0,2017-09-27,2025-05-02,2026-07-31
DSI,"Detector And Alarm, Arrhythmia",2,870.1025,CV,Cardiovascular,CV,,N,N,N,N,Ineligible,2,0,2020-03-26,2026-01-23,2026-07-31
JIR,"Indicator Method, Protein Or Albumin (Urinary, Non-Quant.)",1,862.1645,CH,Clinical Chemistry,CH,,N,N,N,N,Eligible,2,0,2022-07-06,2023-09-08,2026-07-31
KGI,"Densitometer, Bone",2,892.1170,RA,Radiology,RA,,N,N,N,Y,Eligible,2,0,2022-07-29,2025-04-08,2026-07-31
NBW,"System, Test, Blood Glucose, Over The Counter",2,862.1345,CH,Clinical Chemistry,CH,,N,N,N,N,Ineligible,2,1,2015-12-21,2016-11-30,2026-07-31
NDC,"Calculator, Drug Dose",2,868.1890,AN,Anesthesiology,CH,,N,N,N,N,Eligible,2,0,2015-04-24,2019-02-04,2026-07-31
OBH,"Monitor, Extracellular Fluid, Lymphedema, Extremity",2,870.2770,CV,Cardiovascular,GU,"Measure impedances in affected and unaffected but opposite extremity to periodically monitor the level of extracellular fluid or the differences in bioimpedance between opposing extremities for patients who have been previously diagnosed with unilateral lymphedema (that is, in one affected extremity)",N,N,N,N,Eligible,2,1,2017-08-11,2018-04-16,2026-07-31
