submission_number,authorization_pathway,final_decision_date,decision_year,decision_quarter,device_name,company_name,fda_panel,primary_product_code,authorization_detail_matched,detail_device_name,detail_applicant,date_received,review_days,decision_code,decision_description,clearance_type,third_party_flag,expedited_review_flag,denovo_request_type,predetermined_change_control_plan_authorized,statement_or_summary_available,classification_name,device_class,regulation_number,medical_specialty,medical_specialty_description,review_panel,implant_flag,life_sustain_support_flag,gmp_exempt_flag,classification_third_party_flag,summary_malfunction_reporting,linked_recall_records,linked_recall_events,open_recall_records,closed_recall_records,first_recall_initiated_date,latest_recall_initiated_date,days_to_first_recall,has_linked_recall,recall_linkage_method,source_snapshot_date,fda_ai_list_url
K253574,510(k),2026-03-20,2026,Q1,SOMATOM X.cite; SOMATOM X.ceed,"Siemens Medical Solutions USA, Inc.",Radiology,JAK,1,SOMATOM X.cite; SOMATOM X.ceed,"Siemens Medical Solutions USA, Inc.",2025-11-17,123,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K260509,510(k),2026-03-19,2026,Q1,AutoContour (RADAC V5),"Radformation, Inc.",Radiology,QKB,1,AutoContour (RADAC V5),"Radformation, Inc.",2026-02-17,30,SESE,Substantially Equivalent,Special,N,,,,1,Radiological Image Processing Software For Radiation Therapy,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252304,510(k),2026-03-18,2026,Q1,syngo.via RT Image Suite VC10,"Varian Medical Systems, Inc.",Radiology,MUJ,1,syngo.via RT Image Suite VC10,"Varian Medical Systems, Inc.",2025-07-24,237,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Planning, Radiation Therapy Treatment",2,892.5050,RA,Radiology,RA,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
DEN250014,De Novo,2026-03-17,2026,Q1,Tyto Insights for Eardrum Bulging Detection,"Tyto Care , Ltd.",Ear Nose & Throat,SHL,1,Tyto Insights for Eardrum Bulging Detection,"tyto care , ltd.",2025-04-21,330,DENG,Granted,,,,Direct,Y,1,"Ear, Nose, And Throat Image Analyzer",2,874.4775,EN,"Ear, Nose, Throat",EN,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253614,510(k),2026-03-17,2026,Q1,EchoNavigator R5.0,Philips Medical Systems Nederland B.V.,Radiology,QIH,1,EchoNavigator R5.0,Philips Medical Systems Nederland B.V.,2025-11-18,119,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252282,510(k),2026-03-16,2026,Q1,SurgiCount+ System,Stryker Instruments,General Hospital,PBZ,1,SurgiCount+ System,Stryker Instruments,2025-07-22,237,SESE,Substantially Equivalent,Traditional,N,,,,1,Image Processing Device For Estimation Of External Blood Loss,2,880.2750,HO,General Hospital,SU,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252433,510(k),2026-03-16,2026,Q1,Sonio Detect  (v3),Sonio,Radiology,IYN,1,Sonio Detect  (v3),Sonio,2025-08-01,227,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Imaging, Pulsed Doppler, Ultrasonic",2,892.1550,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253944,510(k),2026-03-16,2026,Q1,Data Analysis Facilitation Suite (DAFS),Voronoi Health Analytics Incorporated,Radiology,QIH,1,Data Analysis Facilitation Suite (DAFS),Voronoi Health Analytics Incorporated,2025-12-10,96,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252261,510(k),2026-03-13,2026,Q1,InferCare RECIST,"Beijing Infervision Healthcare Medical Technology Co., Ltd.",Radiology,QIH,1,InferCare RECIST,"Beijing Infervision Healthcare Medical Technology Co., Ltd.",2025-07-21,235,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K260078,510(k),2026-03-13,2026,Q1,Aquilion ServeSP (TSX-307B) V2.0,Canon Medical Systems Corporation,Radiology,JAK,1,Aquilion ServeSP (TSX-307B) V2.0,Canon Medical Systems Corporation,2026-01-12,60,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K250655,510(k),2026-03-12,2026,Q1,Deep Capsule® (Deep Capsule US),Digestaid - Artificial Intelligence Development SA,Gastroenterology-Urology,QZF,1,Deep Capsule® (Deep Capsule US),Digestaid - Artificial Intelligence Development SA,2025-03-05,372,SESE,Substantially Equivalent,Traditional,N,,,,1,Gastrointestinal Capsule Endoscopy Analysis Software Device,2,876.1540,GU,"Gastroenterology, Urology",GU,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K252089,510(k),2026-03-12,2026,Q1,Tyto Stethoscope (G3),"Tyto Care , Ltd.",Cardiovascular,DQD,1,Tyto Stethoscope (G3),"Tyto Care , Ltd.",2025-07-02,253,SESE,Substantially Equivalent,Traditional,N,,,,1,"Stethoscope, Electronic",2,870.1875,CV,Cardiovascular,CV,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253584,510(k),2026-03-10,2026,Q1,"Alphenix, INFX-8000V/B, INFX-8000V/S, V9.6 with aEvolve Imaging (FOV Extension)",Canon Medical Systems Corporation,Radiology,OWB,1,"Alphenix, INFX-8000V/B, INFX-8000V/S, V9.6 with aEvolve Imaging (FOV Extension)",Canon Medical Systems Corporation,2025-11-17,113,SESE,Substantially Equivalent,Traditional,N,,,,1,Interventional Fluoroscopic X-Ray System,2,892.1650,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253413,510(k),2026-03-09,2026,Q1,LiverMultiScan (v6.0),"Perspectum, Ltd.",Radiology,LNH,1,LiverMultiScan (v6.0),"Perspectum, Ltd.",2025-10-01,159,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, Nuclear Magnetic Resonance Imaging",2,892.1000,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253668,510(k),2026-03-08,2026,Q1,Onera SleepMap (SLEEPMAP),Onera B.V.,Neurology,OLZ,1,Onera SleepMap (SLEEPMAP),Onera B.V.,2025-11-21,107,SESE,Substantially Equivalent,Traditional,N,,,,1,Automatic Event Detection Software For Polysomnograph With Electroencephalograph,2,882.1400,NE,Neurology,NE,N,N,N,N,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K253551,510(k),2026-03-06,2026,Q1,VELYS™ Hip Navigation,Depuy Ireland UC,Radiology,QIH,1,VELYS™ Hip Navigation,Depuy Ireland UC,2025-11-14,112,SESE,Substantially Equivalent,Traditional,N,,,,1,Automated Radiological Image Processing Software,2,892.2050,RA,Radiology,RA,N,N,N,N,Ineligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K260166,510(k),2026-03-06,2026,Q1,Bunkerhill Contrast CAC,BunkerHill Health,Radiology,JAK,1,Bunkerhill Contrast CAC,BunkerHill Health,2026-01-20,45,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
K260167,510(k),2026-03-06,2026,Q1,Bunkerhill Contrast AVC,BunkerHill Health,Radiology,JAK,1,Bunkerhill Contrast AVC,BunkerHill Health,2026-01-20,45,SESE,Substantially Equivalent,Traditional,N,,,,1,"System, X-Ray, Tomography, Computed",2,892.1750,RA,Radiology,RA,N,N,N,Y,Eligible,0,0,0,0,,,,0,exact_submission_number_only,2026-07-31,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices
